tree_code,tree_common_name,tree_species,latitude,longitude,dbh,stream_distance,canopy_height,large_vines,epiphytes,moss,mean_ground_cover,density_small_stems,density_big_stems,canopy_size,mean_canopy_cover,root_base,lugovia_epiphytes,dbh_r,ground_cover,canopy_cover,espave
PAT71,Bongo,Ceiba pentandra,-79.70982196,9.352408033,0.19397383865806694,-0.12976625952699095,3.118681161898623,0,2,0,19.16666667,1.6750026338790447,-0.2949916066458377,0.5592433545736403,7.777777778,0,0,1.3,-0.03961903848963322,-3.1199832871057467,0
PAT72,Alcarreto,Aspidosperma cruentum,-79.71008398,9.352814974,-0.7229225794164106,0.5376369354254487,0.18905661229015414,0,1,1,12.91666667,-1.0537623147363295,-0.2949916066458377,-0.17972832415530193,7.944444444,0,0,0.75,-0.8002477156199691,-3.1129808145582456,0
PAT73,Almendro,Dipteryx oleifera,-79.70997199,9.35317196,-1.139693678541173,1.0381893316397783,-0.6898307525923866,0,3,1,8.416666667,-0.7808858198747921,-1.2712009441026821,-0.24050160648962124,9.777777778,0,1,0.5,-1.3479003635189126,-3.0359536161996177,0
PAT74,Veragua,Unknown sp. 10,-79.71039897,9.352911031,-0.13944304064174298,-0.7304291349841866,0.9214627496922713,0,2,0,18.08333333,-0.5080093250132547,-0.9457978316170674,0.4245117818123549,7.555555556,1,0,1.1,-0.1714613433368957,-3.129319917197091,0
PAT75,Alcarreto,Aspidosperma cruentum,-79.71047801,9.353447976,-1.0563394587162205,-0.6303186557413207,1.2876658183933298,1,1,1,24.58333333,0.8563731492944325,-0.9457978316170674,-0.7617460158211135,6.611111111,0,0,0.55,0.6195924808786535,-3.1690005951483267,0
PAT76,Espavé,Anacardium excelsum,-79.71018104,9.35353498,1.027516036907592,0.3707861366873388,0.18905661229015414,0,4,0,12.91666667,-0.8900364178194069,0.681217730811007,-0.17003603343819057,92.88888889,3,2,1.8,-0.8002477156199691,0.455946041492426,1
PAT77,Higuerón ,Ficus sp. 3,-79.70956396,9.352586986,0.027265399008161804,-0.2966170582651009,0.9397729031273245,2,1,1,9.333333333,-1.3812141085701746,0.03041150583977709,-0.6040934852828758,10.16666667,0,2,1.2,-1.2363414909542636,-3.019614513392713,0
PAT78,Alcarreto,Aspidosperma cruentum,-79.71098201,9.354845993,-1.306402118191078,-0.46346785700321075,-0.7264510594624923,1,2,1,10.25,0.09231896368212762,-0.9457978316170674,-1.5516677092656808,9.888888889,0,1,0.4,-1.1247826182679144,-3.0312853011539453,0
PAT79,Alcarreto,Aspidosperma cruentum,-79.70593502,9.360050987,-0.839618487171344,1.705592526592218,0.3721581466406834,1,2,1,10.75,-0.016831634262487436,-0.9457978316170674,-0.9400055788750109,12.55555556,0,2,0.68,-1.0639323240974874,-2.919245739763709,0
PAT80,Maria,Calophyllum sp. 1,-79.70637096,9.359915033,-0.7729351113113822,0.3707861366873388,0.005955077939624844,0,1,0,36.66666667,-0.7263105209024846,-0.9457978316170674,-0.7083947579098072,9,0,0,0.72,2.0901412574753064,-3.0686318215613375,0
PAT81,Ollito,Eschweilera sp. 1,-79.70417599,9.360051993,-0.8229476432063537,-0.3633573777603448,0.3721581466406834,0,2,1,19.58333333,-0.2897081291240248,-1.2712009441026821,-0.9289162012076855,8.222222222,0,0,0.69,0.011089539174384882,-3.101310026923058,0
PAT83,Ollito,Eschweilera sp. 1,-79.71426998,9.358949019,-1.0563394587162205,-0.5468932563722657,0.18905661229015414,0,3,0,28.33333333,-0.6717352219301771,-0.9457978316170674,-0.8220390495162964,92.83333333,0,1,0.55,1.075969687156855,0.4536118837805231,0
PAT84,Espavé,Anacardium excelsum,-79.7161,9.357338017,1.527641355857307,-0.12976625952699095,2.020071955795447,1,4,1,31.75,-0.5080093250132547,-0.6203947191314525,-0.16453500357172207,87.5,4,0,2.1,1.4917800310604405,0.22953276150422827,1
PAT85,Espavé,Anacardium excelsum,-79.71635498,9.35748403,1.527641355857307,-0.4300976972555888,0.9214627496922713,1,5,0,14.16666667,-0.8354611188470996,-0.9457978316170674,0.9255857483001291,90.5,5,1,2.1,-0.648121980193902,0.35557726786342186,1
PAT86,Espavé,Anacardium excelsum,-79.71797998,9.357413035,0.027265399008161804,-0.7304291349841866,-1.092654128163551,0,3,1,13.33333333,-1.217488211653252,0.03041150583977709,-1.0546540267269666,92.44444444,2,2,1.2,-0.7495391379559506,0.437272781057648,1
PAT87,Espavé,Anacardium excelsum,-79.71891498,9.357045991,0.5273907179578768,-0.7471142148579977,0.005955077939624844,1,5,0,10.08333333,-1.7086659024040192,1.982830180753466,-0.7041598380919704,90.11111111,1,2,1.5,-1.145066050063725,0.3392381651405468,1
PAT88,Espavé,Anacardium excelsum,-79.71514204,9.35855398,1.527641355857307,-0.7904954225299062,1.2876658183933298,2,5,1,14.91666667,-0.7263105209024846,-0.2949916066458377,1.143356676664773,88.94444444,3,3,2.1,-0.5568465389382617,0.2902208569719221,1
PAT89,Espavé,Anacardium excelsum,-79.71373103,9.359440031,0.694099157607782,-0.4200866493313022,1.8369704214449178,1,5,1,13.5,-0.7263105209024846,-0.9457978316170674,0.5247527704902262,91.83333333,4,1,1.6,-0.7292557061601397,0.4115970483274585,1
PAT90,Espavé,Anacardium excelsum,-79.71351997,9.358992018,1.9944249868770407,-0.6470037356151317,0.9214627496922713,1,5,1,11.83333333,-1.1629129126809443,0.03041150583977709,-0.22260142994000126,91.77777778,5,3,2.38,-0.9320900204672312,0.4092628910357037,1
PAT91,Espavé,Anacardium excelsum,-79.71312501,9.358919011,0.694099157607782,-0.2632468985174789,-1.2757556625140802,0,4,0,11.41666667,-1.3812141085701746,-0.6203947191314525,-0.05940421056810094,91.22222222,4,2,1.6,-0.9827985981312497,0.3859213155972691,1
PAT92,Espavé,Anacardium excelsum,-79.71631802,9.356943984,-0.25613894839667656,-0.7337661509589489,-1.4588571968646096,0,3,0,25.16666667,-0.7808858198747921,-0.9457978316170674,-0.5771995614912517,93.5,3,1,1.03,0.6905844915554891,0.4816217742226155,1
PAT93,Espavé,Anacardium excelsum,-79.71627099,9.356897967,0.3606822783079717,-0.5368822084479791,-0.543349525111963,0,3,1,25.16666667,-0.4534340260409472,-0.9457978316170674,0.49881934397687444,92.16666667,2,1,1.4,0.6905844915554891,0.42560199375857877,1
PAT94,Espavé,Anacardium excelsum,-79.715509,9.357736995,0.19397383865806694,-0.2966170582651009,0.005955077939624844,1,4,1,21.66666667,-0.18055753117940979,-0.9457978316170674,-0.49931196401680816,90.77777778,3,3,1.3,0.26463243236250106,0.3672480555826392,1
PAT95,Mata palo,Ficus aurea,-79.71494498,9.358725976,-0.672910047521439,-0.19650657902223492,0.18905661229015414,3,3,1,18.91666667,-0.6171599229578696,-0.9457978316170674,-0.8052740061137257,91.72222222,1,2,0.78,-0.07004418557484665,0.40692873332380136,0
PAT96,Unknown sp. 9,Unknown sp. 9,-79.714891,9.358170005,-0.6395683595914581,-0.46346785700321075,-0.7264510594624923,1,2,0,29.16666667,0.09231896368212762,-0.2949916066458377,-0.9073923303809474,94.66666667,0,1,0.8,1.177386844918904,0.5306390823912401,0
PAT98,Espavé,Anacardium excelsum,-79.71600797,9.358550962,0.694099157607782,-0.6136335758675097,1.2876658183933298,1,4,1,21.08333333,-0.999187015764022,-0.9457978316170674,-0.28660547584669077,91.55555556,3,3,1.6,0.19364042168566545,0.39992626102838935,1
PAT99,Espavé,Anacardium excelsum,-79.70970101,9.352872977,1.1942244765574968,-0.6303186557413207,-0.17714645641090446,2,5,1,25,-0.6171599229578696,-0.2949916066458377,0.9156315037798527,92.88888889,2,2,1.9,0.6703010597596779,0.455946041492426,1
PAT100,Espavé,Anacardium excelsum,-79.70983696,9.351277985,2.194475114456927,-0.7971694544794306,0.005955077939624844,5,4,1,17.08333333,4.076315788660574,-0.9457978316170674,1.3408261852841163,92.5,4,4,2.5,-0.2931619316777494,0.4396069387695509,1
